Name of movie,Year of relase,Watchtime,Movie Rating,Votes,Director
Jai Bhim,2021,164,9.3,"173,295",T.J. Gnanavel
The Shawshank Redemption,1994,142,9.3,"2,541,091",Frank Darabont
The Godfather,1972,175,9.2,"1,748,410",Francis Ford Coppola
Soorarai Pottru,2020,153,9.1,"107,159",Sudha Kongara
The Dark Knight,2008,152,9,"2,491,371",Christopher Nolan
The Godfather: Part II,1974,202,9,"1,212,675",Francis Ford Coppola
12 Angry Men,1957,96,9,"750,853",Sidney Lumet
The Lord of the Rings: The Return of the King,2003,201,8.9,"1,752,093",Peter Jackson
Pulp Fiction,1994,154,8.9,"1,955,203",Quentin Tarantino
Schindler's List,1993,195,8.9,"1,297,426",Steven Spielberg
Inception,2010,148,8.8,"2,231,967",Christopher Nolan
Fight Club,1999,139,8.8,"1,999,930",David Fincher
The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,"1,773,739",Peter Jackson
Forrest Gump,1994,142,8.8,"1,960,705",Robert Zemeckis
"Il buono, il brutto, il cattivo",1966,161,8.8,"733,443",Sergio Leone
Spider-Man: No Way Home,2021,148,8.7,"446,741",Jon Watts
Dara iz Jasenovca,2020,130,8.7,"80,317",Predrag Antonijevic
Shershaah,2021,135,8.7,"112,894",Vishnuvardhan
Sardar Udham,2021,164,8.7,"35,937",Shoojit Sircar
The Lord of the Rings: The Two Towers,2002,179,8.7,"1,583,030",Peter Jackson
The Matrix,1999,136,8.7,"1,833,574","Directors:Lana Wachowski, Lilly Wachowski"
Goodfellas,1990,146,8.7,"1,098,360",Martin Scorsese
Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,"1,232,350",Irvin Kershner
One Flew Over the Cuckoo's Nest,1975,133,8.7,"971,935",Milos Forman
Gisaengchung,2019,132,8.6,"715,000",Bong Joon Ho
Drishyam 2,2021,152,8.6,"33,758",Jeethu Joseph
Interstellar,2014,169,8.6,"1,686,136",Christopher Nolan
Cidade de Deus,2002,130,8.6,"733,935","Directors:Fernando Meirelles, Kátia Lund"
Sen to Chihiro no kamikakushi,2001,125,8.6,"717,130",Hayao Miyazaki
Saving Private Ryan,1998,169,8.6,"1,325,681",Steven Spielberg
The Green Mile,1999,189,8.6,"1,236,038",Frank Darabont
